hanzi,pinyin,definition,example_sentence,difficulty
爱情,ài qíng,romance; love (romantic); CL:个,这是一个感人的爱情故事。,Medium
安排,ān pái,to arrange; to plan; to set up,这个周末你有什么安排？,Medium
安全,ān quán,safe; secure; safety; security,请放心，我们会保证您的安全。,Medium
按时,àn shí,on time; before deadline; on schedule,我按时完成了任务。,Medium
按照,àn zhào,according to; in accordance with; in the light of; on the basis of,请把这些盒子按照从大到小的顺序排列。,Medium
百分之,bǎi fēn zhī ,percent; ,任务完成百分之八十了。,Medium
棒,bàng,a stick; club or cudgel; smart; capable; strong; wonderful; classifier for legs of a relay race,你的字写得真棒！,Medium
包子,bāo zi,steamed stuffed bun; CL:个,这家饭馆儿的包子味道非常好。,Medium
保护,bǎo hù,to protect; to defend; to safeguard; protection; CL:种[zhong3],为了保护环境，请不要使用塑料袋 。,Medium
保证,bǎo zhèng,guarantee; to guarantee; to ensure; to safeguard; to pledge; CL:个,我保证，以后不迟到了。,Medium
报名,bào míng,to sign up; to enter one's name; to apply; to register; to enroll; to enlist,报名需要什么材料？,Medium
抱,bào,to hold; to carry (in one's arms); to hug or embrace; surround; cherish,他把孩子抱了起来。,Medium
抱歉,bào qiàn,sorry; We apologize!; to feel apologetic; to regret,非常抱歉，让您等了这么久。,Medium
倍,bèi,"(two, three etc) -fold; times (multiplier); double; to increase or multiply",我们学校的留学生比去年多了一倍。,Medium
本来,běn lái,original; originally; at first; it goes without saying; of course,你本来说好要来的亚洲。,Medium
笨,bèn,stupid; foolish; silly; slow-witted; clumsy,你并不笨，只是需要更努力。,Medium
比如,bǐ rú,for example; for instance; such as,我有很多爱好，比如游泳和读书。,Medium
毕业,bì yè,to graduate; graduation; to finish school,我今年上大三，明年毕业。,Medium
遍,biàn,a time; everywhere; turn; all over; one time,这篇文章，我读了很多遍。,Medium
标准,biāo zhǔn,(an official) standard; norm; criterion; CL:个,你的普通话说得很标准。,Medium
表格,biǎo gé,"form; table; CL:张[zhang1] ,份[fen4]",请在表格的第二行填写性别。,Medium
表示,biǎo shì,to express; to show; to say; to state; to indicate; to mean,请向他表示感谢。,Medium
表演,biǎo yǎn,play; show; performance; exhibition; to perform; to act; to demonstrate; CL:场[chang3],他的表演感情非常丰富。,Medium
表扬,biǎo yáng,to praise; to commend,小明喜欢帮助别人，老师表扬了他。,Medium
饼干,bǐng gān,"biscuit; cracker; cookie; CL:片[pian4] ,块[kuai4]",我买了饼干，吃点儿吧。,Medium
并且,bìng qiě,moreover; furthermore; in addition; besides; and,她很聪明，并且很努力。,Medium
博士,bó shì,doctor; court academician (in feudal China); Ph.D.,我来介绍一下，这位是李博士。,Medium
不过,bú guò,only; merely; no more than; but; however; anyway (to get back to a previous topic),他很优秀，不过不符合公司的招聘条件。,Medium
不得不,bù dé bù,have no choice or option but to; cannot but; have to; can't help it; can't avoid,...,Medium
不管,bù guǎn,"no matter (what, how); regardless of; no matter",不管天怎么样，我都要爬山。,Medium
不仅,bù jǐn,not only (this one); not just (...) but also,我不仅去过那个城市，而且去过很多次。,Medium
部分,bù fen,part; share; section; piece; CL:个,文章最关键的部分是第三段。,Medium
擦,cā,to wipe; to erase; rubbing (brush stroke in painting); to clean; to polish,我已经把窗户擦干净了。,Medium
猜,cāi,to guess,你猜我给你准备了什么生日礼物？,Medium
材料,cái liào,"material; data; makings; stuff; CL:个,种[zhong3]",这份材料，请再复印两份。,Medium
参观,cān guān,to look around; to inspect; visit and observe,我想周末去参观长城。,Medium
餐厅,cān tīng,"dining-hall; dining-room; restaurant; CL:间[jian1] ,家[jia1]",学校附近新开了一家餐厅。,Medium
厕所,cè suǒ,"toilet; lavatory; CL:间[jian1] ,处[chu4]",男厕所在一层。,Medium
差不多,chà bu duō,almost; nearly; more or less,这个房子差不多有 300 年的历史了。,Medium
尝,cháng,to try (to taste); to experience; flavor; (past tense marker); already; formerly; ever; once; test,快来尝尝我做的菜，味道怎么样？,Medium
长城,cháng chéng,the Great Wall,我想周末去参观长城。,Medium
长江,cháng jiāng,Changjiang river; Yangtze river,长江是中国的第一大河。,Medium
场,chǎng,large place used for a specific purpose; stage; scene (of a play); threshing floor; classifier for sporting or recreational activities; classifier for number of exams,春节前，商场都在打折。,Medium
超过,chāo guò,to surpass; to exceed; to outstrip,每天有超过三百个航班在这里起飞。,Medium
乘坐,chéng zuò,to ride (in a vehicle),各位顾客，欢迎您乘坐我们的航班。,Medium
成功,chéng gōng,"success; to succeed; CL:次[ci4] ,个",努力是取得成功的保证。,Medium
成为,chéng wéi,to become; to turn into,我从小就想成为一名警察。,Medium
诚实,chéng shí,honest; honesty; honorable; truthful,爸爸经常教育我要做一个诚实的人。,Medium
吃惊,chī jīng,to be startled; to be shocked; to be amazed,...,Medium
重新,chóng xīn,again; once more; re-,他把事情重新说了一遍。,Medium
抽烟,chōu yān,"to smoke (a cigarette, tobacco)",对不起，医院里不能抽烟。,Medium
出差,chū chāi,to go on an official or business trip,爸爸已经出差一个多月了。,Medium
出发,chū fā,to start out; to set off,我们现在出发吧，否则会迟到的。,Medium
出生,chū shēng,to be born,...,Medium
出现,chū xiàn,to appear; to arise; to emerge; to show up,我们工作中出现了不少问题。,Medium
厨房,chú fáng,kitchen; CL:间[jian1],我正在厨房里做饭呢。,Medium
传真,chuán zhēn,fax; facsimile,请帮我发一份传真。,Medium
窗户,chuāng hu,"window; CL:个,扇[shan4]",她坐在窗户旁边安静地看书。,Medium
词语,cí yǔ,word (general term including monosyllables through to short phrases); term (e.g. technical term); expression,请用这些词语说几个句子。,Medium
从来,cóng lái,always; at all times; never (if used in negative sentence),他脾气好，从来不发火。,Medium
粗心,cū xīn,careless; thoughtless,你真是太粗心了。,Medium
存,cún,exist; deposit; store; keep; survive,我把钱存进了银行。,Medium
错误,cuò wù,error; mistake; mistaken; CL:个,我觉得这种说法是错误的。,Medium
答案,dá àn,answer; solution; CL:个,你的答案非常准确。,Medium
打扮,dǎ ban,to decorate; to dress; to make up; to adorn; manner of dressing; style of dress,她简单打扮了一下就出门了。,Medium
打扰,dǎ rǎo,to disturb; to bother; to trouble,...,Medium
打印,dǎ yìn,to print; to seal; to stamp,这些材料已经打印完了。,Medium
打招呼,dǎ zhāo hu,to greet sb by word or action; to give prior notice,他笑着和我打招呼。,Medium
打折,dǎ zhé,to give a discount,春节前，商场都在打折。,Medium
打针,dǎ zhēn,to give or have an injection,护士正在给病人打针。,Medium
大概,dà gài,roughly; probably; rough; approximate; about,他大概不会来了。,Medium
大使馆,dà shǐ guǎn,"embassy; CL:座[zuo4] ,个",我明天要去大使馆办签证。,Medium
大约,dà yuē,approximately; about,他大约有三十多岁。,Medium
大夫,dài fu,"doctor; minister of state (in pre-Han states); CL:个,位[wei4]",李大夫，您明天上午在医院吗？,Medium
戴,dài,"to put on or wear (glasses, hat, gloves etc); to respect; to bear; to support",这个帽子我戴正好，不大也不小。,Medium
当,dāng,to be; manage; withstand; when; during; ought; should; match equally; equal; same; obstruct; just at (a time or place); on the spot; right; just at,我记不清楚当时的情况了。,Medium
当时,dāng shí,then; at that time; while,我记不清楚当时的情况了。,Medium
刀,dāo,knife; CL:把[ba3],水果刀在厨房里。,Medium
导游,dǎo yóu,tour guide; to conduct a tour; a guidebook,我的姐姐是一名导游。,Medium
倒,dào,to move backwards; converse,请在沙发上坐一会儿，我去给您倒杯茶。,Medium
到处,dào chù,in all places; everywhere,公园里到处都是鲜花。,Medium
到底,dào dǐ,finally; in the end; when all is said and done; after all; to the end; to the last,这句话到底是什么意思？,Medium
道歉,dào qiàn,to apologize; to make an apology,我已经向他道歉了。,Medium
得(助动词),dé,"to have to, to need to (particle used to express capability, possibility, degree, effect...); must; ought to; to need to",...,Medium
得意,dé yì,proud of oneself; pleased with oneself; complacent,工作取得了成功，大家都很得意。,Medium
登机牌,dēng jī pái,boarding pass,请您拿好登机牌，准备登机。,Medium
等(助词),děng,etc (indicating the end of an enumeration),...,Medium
低,dī,low; beneath; to lower (one's head); to let droop; to hang down; to incline,从去年开始，汽车的价格在降低。,Medium
底,dǐ,background; bottom; base; the end of a period of time; towards the end of (last month),这句话到底是什么意思？,Medium
地点,dì diǎn ,place; site; location; venue; CL:個|个[ge4]; ,开会的地点在三楼会议室。,Medium
地球,dì qiú,the Earth; planet; CL:个,地球上 70%的面积是海洋。,Medium
地址,dì zhǐ,address; CL:个,请把您的地址写下来。,Medium
掉,diào,"to fall; to drop; to lag behind; to lose; to go missing; to reduce; fall (in prices); to lose (value, weight etc); to wag; to swing; to turn; to change; to exchange; to swap; to show off; to shed (hair)",把这个字去掉，这个句子就对了。,Medium
调查,diào chá,"investigation; inquiry; to investigate; to survey; survey; (opinion) poll; CL:项[xiang4] ,个",我刚做了一个顾客满意度调查。,Medium
丢,diū,to lose; to put aside; to throw,你的书包丢了？,Medium
