hanzi,pinyin,definition,example_sentence,difficulty
哎,āi ,hey!; (interjection used to attract attention or to express surprise or disapprobation); ,...,Hard
唉,āi,(interjection to express agreement or recognition); to sigh,...,Hard
爱护,ài hù,to take care of; to treasure; to cherish; to love and protect,...,Hard
爱惜,ài xī,to cherish; to treasure; to use sparingly,...,Hard
爱心,ài xīn,compassion; CL:片[pian4],...,Hard
安慰,ān wèi,to comfort; to console; CL:个,...,Hard
安装,ān zhuāng,to install; to erect; to fix; to mount; installation,...,Hard
岸,àn,shore; bank; beach; coast; CL:個|个[ge4],...,Hard
暗,àn,dark; gloomy; hidden; secret; muddled; obscure; in the dark,...,Hard
熬夜,áo yè ,to stay up late or all night; ,...,Hard
把握,bǎ wò,to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome),...,Hard
摆,bǎi,to arrange; to exhibit; to move to and fro; a pendulum,...,Hard
办理,bàn lǐ,to handle; to transact; to conduct,...,Hard
傍晚,bàng wǎn,in the evening; when night falls; towards evening; at night fall; at dusk,...,Hard
包裹,bāo guǒ,wrap up; bind up; bundle; parcel; package; CL:个,...,Hard
包含,bāo hán,to contain; to embody; to include,...,Hard
包括,bāo kuò,to comprise; to include; to involve; to incorporate; to consist of,包括张老师在内，教室里一共有 10 个人。,Hard
薄,báo,thin; cold in manner; indifferent; weak; light; infertile,...,Hard
保持,bǎo chí,to keep; to maintain; to hold; to preserve,...,Hard
保存,bǎo cún,to conserve; to preserve; to keep; to save (a file etc) (computing),...,Hard
保留,bǎo liú,to preserve; to maintain; to retain; to continue to have; to reserve; reservations; to hold back (approval or acceptance),...,Hard
保险,bǎo xiǎn,insurance; to insure; safe; secure; be sure; be bound to; CL:份[fen4],...,Hard
宝贝,bǎo bèi,treasured object; treasure; darling; baby; cowry; good-for-nothing or queer character,...,Hard
宝贵,bǎo guì,valuable; precious; value; treasure; set store by,...,Hard
报到,bào dào,to check in; to report for duty; to register,...,Hard
