hanzi,pinyin,definition,example_sentence,difficulty
啊,a,"modal particle ending sentence, showing affirmation, approval, or consent",啊，好的，我现在就去。,Medium
阿姨,ā yí,maternal aunt; step-mother; childcare worker; nursemaid; woman of similar age to one's parents (term of address used by child); CL:个,阿姨，附近有地铁站吗？,Medium
矮,ǎi,low; short (in length),弟弟的个子比我矮。,Medium
爱好,ài hào,interest; hobby; appetite for; CL:个,我从小就爱好音乐。,Medium
安静,ān jìng,quiet; peaceful; calm,孩子们都睡着了，家里安静了下来。,Medium
把,bǎ,to hold; to contain; to grasp; to take hold of; a handle; particle marking the following noun as a direct object; classifier for objects with handle,我准备周末把房间打扫一下。,Medium
搬,bān,to move; to shift; to remove; to transport; to apply indiscriminately; to copy mechanically,请帮助我找一家搬家公司，好吗？,Medium
班,bān,team; class; squad; work shift; classifier for groups; ranking; surname Ban; CL:个,我七点半去上班。,Medium
办法,bàn fǎ,"means; method; way (of doing sth); CL:条[tiao2] ,个",你别急，我们再想想办法。,Medium
办公室,bàn gōng shì,an office; business premises; a bureau; CL:间[jian1],请问，校长办公室怎么走？,Medium
半,bàn,half; semi-; incomplete; (after a number) and a half,现在是三点半。,Medium
帮忙,bāng máng,to help; to lend a hand; to do a favor; to do a good turn,我去请老师帮忙。,Medium
包,bāo,"to cover; to wrap; to hold; to include; to take charge of; package; wrapper; container; bag; to hold or embrace; bundle; packet; to contract (to or for); surname Bao; CL:个,只[zhi1]",面包已经卖完了。,Medium
饱,bǎo,to eat till full; satisfied,我已经吃饱了。,Medium
北方,běi fāng,north; the northern part a country; China north of the Yellow River,北方的冬天很冷。,Medium
被,bèi,by (indicates passive-voice sentences or clauses); quilt; to cover (literary),这个苹果被分成了两块儿。,Medium
鼻子,bí zi,"nose; CL:个,只[zhi1]",姐姐的鼻子很高，很漂亮。,Medium
比较,bǐ jiào,compare; contrast; fairly; comparatively; relatively; quite; rather,今天天气比较冷。,Medium
比赛,bǐ sài,"competition (sports etc); match; CL:场[chang3] ,次[ci4]",我们比赛跑步吧。,Medium
笔记本,bǐ jì běn,notebook; CL:本[ben3],你看，这是我新买的笔记本。,Medium
必须,bì xū,to have to; must; compulsory; necessarily,这件事，在周末前必须完成。,Medium
变化,biàn huà,change; variation; to change; to vary; CL:个,城市变化得太快了。,Medium
别人,bié rén,others,别人都走了，为什么你还在这里？,Medium
冰箱,bīng xiāng,"icebox; freezer cabinet; refrigerator; CL:台[tai2] ,个",冰箱里还有饮料吗？,Medium
不但…而且…,bù dàn …ér qiě …,not only ... but also... ,...,Medium
